Id,Type,Vessel,Dir,Origin,Destination,Dep_Date,Arr_Date,Code,Trip ID
149,CHOPPER,HN,OUT,UTP,JAS,2025-04-12,2025-04-12,N-OUT,C-HN-UTP:04/12 > JAS:04/12
150,CHOPPER,HN,IN,JAS,UTP,2025-04-12,2025-04-12,N-IN,C-HN-JAS:04/12 > UTP:04/12
151,CHOPPER,HN,OUT,UTP,MNA,2025-04-12,2025-04-12,N-OUT,C-HN-UTP:04/12 > MNA:04/12
152,CHOPPER,HN,IN,MNA,UTP,2025-04-12,2025-04-12,N-IN,C-HN-MNA:04/12 > UTP:04/12
153,CHOPPER,HS,OUT,SKL,NY,2025-04-12,2025-04-12,S-OUT,C-HS-SKL:04/12 > NY:04/12
154,CHOPPER,HS,IN,NY,SKL,2025-04-12,2025-04-12,S-IN,C-HS-NY:04/12 > SKL:04/12
155,CHOPPER,HN,OUT,UTP,JAS,2025-04-14,2025-04-14,N-OUT,C-HN-UTP:04/14 > JAS:04/14
156,CHOPPER,HN,IN,JAS,UTP,2025-04-14,2025-04-14,N-IN,C-HN-JAS:04/14 > UTP:04/14
157,CHOPPER,HN,OUT,UTP,MNA,2025-04-14,2025-04-14,N-OUT,C-HN-UTP:04/14 > MNA:04/14
158,CHOPPER,HN,IN,MNA,UTP,2025-04-14,2025-04-14,N-IN,C-HN-MNA:04/14 > UTP:04/14
159,CHOPPER,HS,OUT,SKL,NY,2025-04-16,2025-04-16,S-OUT,C-HS-SKL:04/16 > NY:04/16
160,CHOPPER,HS,IN,NY,SKL,2025-04-16,2025-04-16,S-IN,C-HS-NY:04/16 > SKL:04/16
161,CHOPPER,HS,OUT,SKL,WN,2025-04-16,2025-04-16,S-OUT,C-HS-SKL:04/16 > WN:04/16
162,CHOPPER,HS,IN,WN,SKL,2025-04-16,2025-04-16,S-IN,C-HS-WN:04/16 > SKL:04/16
163,CHOPPER,HN,OUT,UTP,JAS,2025-04-17,2025-04-17,N-OUT,C-HN-UTP:04/17 > JAS:04/17
164,CHOPPER,HN,IN,JAS,UTP,2025-04-17,2025-04-17,N-IN,C-HN-JAS:04/17 > UTP:04/17
165,CHOPPER,HN,OUT,UTP,JAS,2025-04-19,2025-04-19,N-OUT,C-HN-UTP:04/19 > JAS:04/19
166,CHOPPER,HN,IN,JAS,UTP,2025-04-19,2025-04-19,N-IN,C-HN-JAS:04/19 > UTP:04/19
167,CHOPPER,HN,OUT,UTP,MNA,2025-04-19,2025-04-19,N-OUT,C-HN-UTP:04/19 > MNA:04/19
168,CHOPPER,HN,IN,MNA,UTP,2025-04-19,2025-04-19,N-IN,C-HN-MNA:04/19 > UTP:04/19
169,CHOPPER,HS,OUT,SKL,NY,2025-04-19,2025-04-19,S-OUT,C-HS-SKL:04/19 > NY:04/19
170,CHOPPER,HS,IN,NY,SKL,2025-04-19,2025-04-19,S-IN,C-HS-NY:04/19 > SKL:04/19
171,CHOPPER,HN,OUT,UTP,JAS,2025-04-21,2025-04-21,N-OUT,C-HN-UTP:04/21 > JAS:04/21
172,CHOPPER,HN,IN,JAS,UTP,2025-04-21,2025-04-21,N-IN,C-HN-JAS:04/21 > UTP:04/21
173,CHOPPER,HS,OUT,SKL,NY,2025-04-23,2025-04-23,S-OUT,C-HS-SKL:04/23 > NY:04/23
174,CHOPPER,HS,IN,NY,SKL,2025-04-23,2025-04-23,S-IN,C-HS-NY:04/23 > SKL:04/23
175,CHOPPER,HS,OUT,SKL,WN,2025-04-23,2025-04-23,S-OUT,C-HS-SKL:04/23 > WN:04/23
176,CHOPPER,HS,IN,WN,SKL,2025-04-23,2025-04-23,S-IN,C-HS-WN:04/23 > SKL:04/23
177,CHOPPER,HN,OUT,UTP,JAS,2025-04-24,2025-04-24,N-OUT,C-HN-UTP:04/24 > JAS:04/24
178,CHOPPER,HN,IN,JAS,UTP,2025-04-24,2025-04-24,N-IN,C-HN-JAS:04/24 > UTP:04/24
179,CHOPPER,HS,OUT,SKL,WN,2025-04-25,2025-04-25,S-OUT,C-HS-SKL:04/25 > WN:04/25
180,CHOPPER,HS,IN,WN,SKL,2025-04-25,2025-04-25,S-IN,C-HS-WN:04/25 > SKL:04/25
181,CHOPPER,HN,OUT,UTP,JAS,2025-04-26,2025-04-26,N-OUT,C-HN-UTP:04/26 > JAS:04/26
182,CHOPPER,HN,IN,JAS,UTP,2025-04-26,2025-04-26,N-IN,C-HN-JAS:04/26 > UTP:04/26
183,CHOPPER,HN,OUT,UTP,MNA,2025-04-26,2025-04-26,N-OUT,C-HN-UTP:04/26 > MNA:04/26
184,CHOPPER,HN,IN,MNA,UTP,2025-04-26,2025-04-26,N-IN,C-HN-MNA:04/26 > UTP:04/26
185,CHOPPER,HN,OUT,UTP,JAS,2025-04-28,2025-04-28,N-OUT,C-HN-UTP:04/28 > JAS:04/28
186,CHOPPER,HN,IN,JAS,UTP,2025-04-28,2025-04-28,N-IN,C-HN-JAS:04/28 > UTP:04/28
187,CHOPPER,HN,OUT,UTP,MNA,2025-04-28,2025-04-28,N-OUT,C-HN-UTP:04/28 > MNA:04/28
188,CHOPPER,HN,IN,MNA,UTP,2025-04-28,2025-04-28,N-IN,C-HN-MNA:04/28 > UTP:04/28
189,CHOPPER,HS,OUT,SKL,NY,2025-04-30,2025-04-30,S-OUT,C-HS-SKL:04/30 > NY:04/30
190,CHOPPER,HS,IN,NY,SKL,2025-04-30,2025-04-30,S-IN,C-HS-NY:04/30 > SKL:04/30
191,CHOPPER,HS,OUT,SKL,WN,2025-04-30,2025-04-30,S-OUT,C-HS-SKL:04/30 > WN:04/30
192,CHOPPER,HS,IN,WN,SKL,2025-04-30,2025-04-30,S-IN,C-HS-WN:04/30 > SKL:04/30
193,CHOPPER,HS,OUT,SKL,WN,2025-05-02,2025-05-02,S-OUT,C-HS-SKL:05/02 > WN:05/02
194,CHOPPER,HS,IN,WN,SKL,2025-05-02,2025-05-02,S-IN,C-HS-WN:05/02 > SKL:05/02
195,CHOPPER,HN,OUT,UTP,JAS,2025-05-03,2025-05-03,N-OUT,C-HN-UTP:05/03 > JAS:05/03
196,CHOPPER,HN,IN,JAS,UTP,2025-05-03,2025-05-03,N-IN,C-HN-JAS:05/03 > UTP:05/03
197,CHOPPER,HN,OUT,UTP,MNA,2025-05-03,2025-05-03,N-OUT,C-HN-UTP:05/03 > MNA:05/03
198,CHOPPER,HN,IN,MNA,UTP,2025-05-03,2025-05-03,N-IN,C-HN-MNA:05/03 > UTP:05/03
199,CHOPPER,HS,OUT,SKL,NY,2025-05-03,2025-05-03,S-OUT,C-HS-SKL:05/03 > NY:05/03
200,CHOPPER,HS,IN,NY,SKL,2025-05-03,2025-05-03,S-IN,C-HS-NY:05/03 > SKL:05/03
201,CHOPPER,HN,OUT,UTP,JAS,2025-05-05,2025-05-05,N-OUT,C-HN-UTP:05/05 > JAS:05/05
202,CHOPPER,HN,IN,JAS,UTP,2025-05-05,2025-05-05,N-IN,C-HN-JAS:05/05 > UTP:05/05
203,CHOPPER,HS,OUT,SKL,NY,2025-05-07,2025-05-07,S-OUT,C-HS-SKL:05/07 > NY:05/07
204,CHOPPER,HS,IN,NY,SKL,2025-05-07,2025-05-07,S-IN,C-HS-NY:05/07 > SKL:05/07
205,CHOPPER,HS,OUT,SKL,WN,2025-05-07,2025-05-07,S-OUT,C-HS-SKL:05/07 > WN:05/07
206,CHOPPER,HS,IN,WN,SKL,2025-05-07,2025-05-07,S-IN,C-HS-WN:05/07 > SKL:05/07
207,CHOPPER,HN,OUT,UTP,JAS,2025-05-08,2025-05-08,N-OUT,C-HN-UTP:05/08 > JAS:05/08
208,CHOPPER,HN,IN,JAS,UTP,2025-05-08,2025-05-08,N-IN,C-HN-JAS:05/08 > UTP:05/08
209,CHOPPER,HS,OUT,SKL,WN,2025-05-09,2025-05-09,S-OUT,C-HS-SKL:05/09 > WN:05/09
210,CHOPPER,HS,IN,WN,SKL,2025-05-09,2025-05-09,S-IN,C-HS-WN:05/09 > SKL:05/09
211,CHOPPER,HN,OUT,UTP,JAS,2025-05-10,2025-05-10,N-OUT,C-HN-UTP:05/10 > JAS:05/10
212,CHOPPER,HN,IN,JAS,UTP,2025-05-10,2025-05-10,N-IN,C-HN-JAS:05/10 > UTP:05/10
213,CHOPPER,HN,OUT,UTP,MNA,2025-05-10,2025-05-10,N-OUT,C-HN-UTP:05/10 > MNA:05/10
214,CHOPPER,HN,IN,MNA,UTP,2025-05-10,2025-05-10,N-IN,C-HN-MNA:05/10 > UTP:05/10
215,CHOPPER,HN,OUT,UTP,JAS,2025-05-12,2025-05-12,N-OUT,C-HN-UTP:05/12 > JAS:05/12
216,CHOPPER,HN,IN,JAS,UTP,2025-05-12,2025-05-12,N-IN,C-HN-JAS:05/12 > UTP:05/12
217,CHOPPER,HN,OUT,UTP,MNA,2025-05-12,2025-05-12,N-OUT,C-HN-UTP:05/12 > MNA:05/12
218,CHOPPER,HN,IN,MNA,UTP,2025-05-12,2025-05-12,N-IN,C-HN-MNA:05/12 > UTP:05/12
219,CHOPPER,HS,OUT,SKL,NY,2025-05-14,2025-05-14,S-OUT,C-HS-SKL:05/14 > NY:05/14
220,CHOPPER,HS,IN,NY,SKL,2025-05-14,2025-05-14,S-IN,C-HS-NY:05/14 > SKL:05/14
221,CHOPPER,HS,OUT,SKL,WN,2025-05-14,2025-05-14,S-OUT,C-HS-SKL:05/14 > WN:05/14
222,CHOPPER,HS,IN,WN,SKL,2025-05-14,2025-05-14,S-IN,C-HS-WN:05/14 > SKL:05/14
223,CHOPPER,HN,OUT,UTP,JAS,2025-05-17,2025-05-17,N-OUT,C-HN-UTP:05/17 > JAS:05/17
224,CHOPPER,HN,IN,JAS,UTP,2025-05-17,2025-05-17,N-IN,C-HN-JAS:05/17 > UTP:05/17
225,CHOPPER,HN,OUT,UTP,MNA,2025-05-17,2025-05-17,N-OUT,C-HN-UTP:05/17 > MNA:05/17
226,CHOPPER,HN,IN,MNA,UTP,2025-05-17,2025-05-17,N-IN,C-HN-MNA:05/17 > UTP:05/17
227,CHOPPER,HS,OUT,SKL,NY,2025-05-17,2025-05-17,S-OUT,C-HS-SKL:05/17 > NY:05/17
228,CHOPPER,HS,IN,NY,SKL,2025-05-17,2025-05-17,S-IN,C-HS-NY:05/17 > SKL:05/17
229,CHOPPER,HN,OUT,UTP,JAS,2025-05-19,2025-05-19,N-OUT,C-HN-UTP:05/19 > JAS:05/19
230,CHOPPER,HN,IN,JAS,UTP,2025-05-19,2025-05-19,N-IN,C-HN-JAS:05/19 > UTP:05/19
231,CHOPPER,HS,OUT,SKL,NY,2025-05-21,2025-05-21,S-OUT,C-HS-SKL:05/21 > NY:05/21
232,CHOPPER,HS,IN,NY,SKL,2025-05-21,2025-05-21,S-IN,C-HS-NY:05/21 > SKL:05/21
233,CHOPPER,HS,OUT,SKL,WN,2025-05-21,2025-05-21,S-OUT,C-HS-SKL:05/21 > WN:05/21
234,CHOPPER,HS,IN,WN,SKL,2025-05-21,2025-05-21,S-IN,C-HS-WN:05/21 > SKL:05/21
