Id,Type,Vessel,Dir,Origin,Destination,Dep_Date,Arr_Date,Code,Trip ID
306,CHOPPER,HN,IN,MNA,UTP,2025-06-21,2025-06-21,N-IN,C-HN-MNA:06/21 > UTP:06/21
307,CHOPPER,HN,OUT,UTP,JAS,2025-06-23,2025-06-23,N-OUT,C-HN-UTP:06/23 > JAS:06/23
308,CHOPPER,HN,IN,JAS,UTP,2025-06-23,2025-06-23,N-IN,C-HN-JAS:06/23 > UTP:06/23
309,CHOPPER,HN,OUT,UTP,MNA,2025-06-23,2025-06-23,N-OUT,C-HN-UTP:06/23 > MNA:06/23
310,CHOPPER,HN,IN,MNA,UTP,2025-06-23,2025-06-23,N-IN,C-HN-MNA:06/23 > UTP:06/23
311,CHOPPER,HS,OUT,SKL,NY,2025-06-25,2025-06-25,S-OUT,C-HS-SKL:06/25 > NY:06/25
312,CHOPPER,HS,IN,NY,SKL,2025-06-25,2025-06-25,S-IN,C-HS-NY:06/25 > SKL:06/25
313,CHOPPER,HS,OUT,SKL,WN,2025-06-25,2025-06-25,S-OUT,C-HS-SKL:06/25 > WN:06/25
314,CHOPPER,HS,IN,WN,SKL,2025-06-25,2025-06-25,S-IN,C-HS-WN:06/25 > SKL:06/25
315,CHOPPER,HS,OUT,SKL,WN,2025-06-27,2025-06-27,S-OUT,C-HS-SKL:06/27 > WN:06/27
316,CHOPPER,HS,IN,WN,SKL,2025-06-27,2025-06-27,S-IN,C-HS-WN:06/27 > SKL:06/27
317,CHOPPER,HN,OUT,UTP,JAS,2025-06-28,2025-06-28,N-OUT,C-HN-UTP:06/28 > JAS:06/28
318,CHOPPER,HN,IN,JAS,UTP,2025-06-28,2025-06-28,N-IN,C-HN-JAS:06/28 > UTP:06/28
319,CHOPPER,HN,OUT,UTP,MNA,2025-06-28,2025-06-28,N-OUT,C-HN-UTP:06/28 > MNA:06/28
320,CHOPPER,HN,IN,MNA,UTP,2025-06-28,2025-06-28,N-IN,C-HN-MNA:06/28 > UTP:06/28
321,CHOPPER,HS,OUT,SKL,NY,2025-06-28,2025-06-28,S-OUT,C-HS-SKL:06/28 > NY:06/28
322,CHOPPER,HS,IN,NY,SKL,2025-06-28,2025-06-28,S-IN,C-HS-NY:06/28 > SKL:06/28
323,CHOPPER,HN,OUT,UTP,JAS,2025-06-30,2025-06-30,N-OUT,C-HN-UTP:06/30 > JAS:06/30
